arxiv_id,title,summary,published,updated,html_url,pdf_url,authors,affiliations,countries,primary_category,categories
http://arxiv.org/abs/1802.03292v1,Mathematical Logic in Computer Science,"  The article retraces major events and milestones in the mutual influences
between mathematical logic and computer science since the 1950s.
",2018-02-07T22:21:43Z,2018-02-07T22:21:43Z,http://arxiv.org/abs/1802.03292v1,http://arxiv.org/pdf/1802.03292v1,Assaf Kfoury,Unknown,,cs.LO,"03B70, 68Q99, F.4.1; F.4.m; K.2"
http://arxiv.org/abs/2002.05658v1,Ten Research Challenge Areas in Data Science,"  Although data science builds on knowledge from computer science, mathematics,
statistics, and other disciplines, data science is a unique field with many
mysteries to unlock: challenging scientific questions and pressing questions of
societal importance. This article starts with meta-questions about data science
as a discipline and then elaborates on ten ideas for the basis of a research
agenda for data science.
",2020-01-27T21:39:57Z,2020-01-27T21:39:57Z,http://arxiv.org/abs/2002.05658v1,http://arxiv.org/pdf/2002.05658v1,Jeannette M. Wing,Unknown,,cs.CY,"cs.AI, A.0; E.0; G.3; I.2; I.5"
http://arxiv.org/abs/1501.05039v1,Defining Data Science,"  Data science is gaining more and more and widespread attention, but no
consensus viewpoint on what data science is has emerged. As a new science, its
objects of study and scientific issues should not be covered by established
sciences. Data in cyberspace have formed what we call datanature. In the
present paper, data science is defined as the science of exploring datanature.
",2015-01-21T02:41:55Z,2015-01-21T02:41:55Z,http://arxiv.org/abs/1501.05039v1,http://arxiv.org/pdf/1501.05039v1,"Yangyong Zhu, Yun Xiong","Unknown, Unknown",,cs.DB,cs.CY
http://arxiv.org/abs/2205.01553v1,Why The Trans Programmer?,"  Through online anecdotal evidence and online communities, there is an
in-group idea of trans people (specifically trans-feminine individuals)
disproportionately entering computer science education & fields. Existing data
suggests this is a plausible trend, yet no research has been done into exactly
why. As computer science education (traditional schooling or self-taught
methods) is integral to working in computer science fields, a simple research
survey was conducted to gather data on 138 trans people's experiences with
computer science & computer science education. This article's purpose is to
shed insight on the motivations for trans individuals choosing computer science
paths, while acting as a basis and call to action for further research.
",2022-05-03T15:06:23Z,2022-05-03T15:06:23Z,http://arxiv.org/abs/2205.01553v1,http://arxiv.org/pdf/2205.01553v1,Skye Kychenthal,Unknown,,cs.CY,
http://arxiv.org/abs/1612.04037v1,"Proceedings 11th Doctoral Workshop on Mathematical and Engineering
  Methods in Computer Science","  MEMICS provides a forum for doctoral students interested in applications of
mathematical and engineering methods in computer science. Besides a rich
technical programme (including invited talks, regular papers, and
presentations), MEMICS also offers friendly social activities and exciting
opportunities for meeting like-minded people. MEMICS submissions traditionally
cover all areas of computer science (such as parallel and distributed
computing, computer networks, modern hardware and its design, non-traditional
computing architectures, information systems and databases, multimedia and
graphics, verification and testing, computer security, as well as all related
areas of theoretical computer science).
",2016-12-13T05:47:19Z,2016-12-13T05:47:19Z,http://arxiv.org/abs/1612.04037v1,http://arxiv.org/pdf/1612.04037v1,"Jan Bouda, Lukáš Holík, Jan Kofroň, Jan Strejček, Adam Rambousek","Unknown, Unknown, Unknown, Unknown, Unknown",,cs.LO,"cs.DS, cs.SE"
http://arxiv.org/abs/1908.05986v1,FAIR and Open Computer Science Research Software,"  In computational science and in computer science, research software is a
central asset for research. Computational science is the application of
computer science and software engineering principles to solving scientific
problems, whereas computer science is the study of computer hardware and
software design.
  The Open Science agenda holds that science advances faster when we can build
on existing results. Therefore, research software has to be reusable for
advancing science. Thus, we need proper research software engineering for
obtaining reusable and sustainable research software. This way, software
engineering methods may improve research in other disciplines. However,
research in software engineering and computer science itself will also benefit
from reuse when research software is involved.
  For good scientific practice, the resulting research software should be open
and adhere to the FAIR principles (findable, accessible, interoperable and
repeatable) to allow repeatability, reproducibility, and reuse. Compared to
research data, research software should be both archived for reproducibility
and actively maintained for reusability. The FAIR data principles do not
require openness, but research software should be open source software.
Established open source software licenses provide sufficient licensing options,
such that it should be the rare exception to keep research software closed.
  We review and analyze the current state in this area in order to give
recommendations for making computer science research software FAIR and open. We
observe that research software publishing practices in computer science and in
computational science show significant differences.
",2019-08-16T14:26:08Z,2019-08-16T14:26:08Z,http://arxiv.org/abs/1908.05986v1,http://arxiv.org/pdf/1908.05986v1,"Wilhelm Hasselbring, Leslie Carr, Simon Hettrick, Heather Packer, Thanassis Tiropanis","Unknown, Unknown, Unknown, Unknown, Unknown",,cs.SE,
http://arxiv.org/abs/1309.0717v2,A Polynomial Translation of pi-calculus FCPs to Safe Petri Nets,"  We develop a polynomial translation from finite control pi-calculus processes
to safe low-level Petri nets. To our knowledge, this is the first such
translation. It is natural in that there is a close correspondence between the
control flows, enjoys a bisimulation result, and is suitable for practical
model checking.
",2013-09-03T15:08:39Z,2013-09-16T15:13:26Z,http://arxiv.org/abs/1309.0717v2,http://arxiv.org/pdf/1309.0717v2,"Victor Khomenko, Roland Meyer, Reiner Hüchting","School of Computing Science, Newcastle University, Department of Computer Science, University of Kaiserslautern, Department of Computer Science, University of Kaiserslautern",,cs.LO,
http://arxiv.org/abs/2207.07901v1,Computer Science,"  Possible for science itself, conceptually, to have and will understand
differently, let alone science also seen as technology, such as computer
science. After all, science and technology are viewpoints diverse by either
individual, community, or social. Generally, it depends on socioeconomic
capabilities. So it is with computer science has become a phenomenon and
fashionable, where based on the stream of documents, various issues arise in
either its theory or implementation, adapting different communities, or
designing curriculum holds in the education system.
",2022-07-16T10:54:57Z,2022-07-16T10:54:57Z,http://arxiv.org/abs/2207.07901v1,http://arxiv.org/pdf/2207.07901v1,"Mahyuddin K. M. Nasution, Rahmat Hidayat, Rahmad Syah","Unknown, Unknown, Unknown",,cs.CY,"68-XX 68-00, F.2.2; I.2.7"
http://arxiv.org/abs/0907.3804v3,Decidability of higher-order matching,"  We show that the higher-order matching problem is decidable using a
game-theoretic argument.
",2009-07-22T09:17:30Z,2009-07-31T11:37:46Z,http://arxiv.org/abs/0907.3804v3,http://arxiv.org/pdf/0907.3804v3,Colin Stirling,Unknown,,cs.LO,"cs.GT, F.4.1"
http://arxiv.org/abs/1610.07365v1,Introduction: Cognitive Issues in Natural Language Processing,"  This special issue is dedicated to get a better picture of the relationships
between computational linguistics and cognitive science. It specifically raises
two questions: ""what is the potential contribution of computational language
modeling to cognitive science?"" and conversely: ""what is the influence of
cognitive science in contemporary computational linguistics?""
",2016-10-24T11:30:22Z,2016-10-24T11:30:22Z,http://arxiv.org/abs/1610.07365v1,http://arxiv.org/pdf/1610.07365v1,"Thierry Poibeau, Shravan Vasishth","LaTTICe, Unknown",,cs.CL,"cs.AI, cs.HC"
